State,Month,Deaths
Alabama,01/2017,454.0
Alabama,02/2017,477.0
Alabama,03/2017,440.0
Alabama,04/2017,385.0
Alabama,05/2017,345.0
Alabama,06/2017,315.0
Alabama,07/2017,332.0
Alabama,08/2017,356.0
Alabama,09/2017,335.0
Alabama,10/2017,354.0
Alabama,11/2017,354.0
Alabama,12/2017,513.0
Alaska,01/2017,24.0
Alaska,02/2017,23.0
Alaska,03/2017,26.0
Alaska,04/2017,28.0
Alaska,05/2017,11.0
Alaska,06/2017,18.0
Alaska,07/2017,18.0
Alaska,08/2017,22.0
Alaska,09/2017,20.0
Alaska,10/2017,27.0
Alaska,11/2017,25.0
Alaska,12/2017,28.0
Arkansas,01/2017,294.0
Arkansas,02/2017,350.0
Arkansas,03/2017,292.0
Arkansas,04/2017,277.0
Arkansas,05/2017,270.0
Arkansas,06/2017,235.0
Arkansas,07/2017,240.0
Arkansas,08/2017,204.0
Arkansas,09/2017,230.0
Arkansas,10/2017,205.0
Arkansas,11/2017,244.0
Arkansas,12/2017,396.0
Arizona,01/2017,452.0
Arizona,02/2017,426.0
Arizona,03/2017,474.0
Arizona,04/2017,411.0
Arizona,05/2017,374.0
Arizona,06/2017,355.0
Arizona,07/2017,316.0
Arizona,08/2017,320.0
Arizona,09/2017,314.0
Arizona,10/2017,315.0
Arizona,11/2017,385.0
Arizona,12/2017,536.0
California,01/2017,2610.0
California,02/2017,2012.0
California,03/2017,1981.0
California,04/2017,1720.0
California,05/2017,1644.0
California,06/2017,1463.0
California,07/2017,1354.0
California,08/2017,1299.0
California,09/2017,1328.0
California,10/2017,1348.0
California,11/2017,1382.0
California,12/2017,2080.0
Kansas,01/2017,258.0
Kansas,02/2017,283.0
Kansas,03/2017,254.0
Kansas,04/2017,194.0
Kansas,05/2017,166.0
Kansas,06/2017,170.0
Kansas,07/2017,177.0
Kansas,08/2017,143.0
Kansas,09/2017,150.0
Kansas,10/2017,174.0
Kansas,11/2017,179.0
Kansas,12/2017,230.0
North Carolina,01/2017,810.0
North Carolina,02/2017,794.0
North Carolina,03/2017,923.0
North Carolina,04/2017,690.0
North Carolina,05/2017,607.0
North Carolina,06/2017,517.0
North Carolina,07/2017,547.0
North Carolina,08/2017,475.0
North Carolina,09/2017,542.0
North Carolina,10/2017,486.0
North Carolina,11/2017,533.0
North Carolina,12/2017,692.0
South Carolina,01/2017,392.0
South Carolina,02/2017,316.0
South Carolina,03/2017,391.0
South Carolina,04/2017,291.0
South Carolina,05/2017,316.0
South Carolina,06/2017,266.0
South Carolina,07/2017,277.0
South Carolina,08/2017,257.0
South Carolina,09/2017,272.0
South Carolina,10/2017,269.0
South Carolina,11/2017,293.0
South Carolina,12/2017,366.0
Colorado,01/2017,361.0
Colorado,02/2017,324.0
Colorado,03/2017,343.0
Colorado,04/2017,267.0
Colorado,05/2017,272.0
Colorado,06/2017,208.0
Colorado,07/2017,223.0
Colorado,08/2017,202.0
Colorado,09/2017,206.0
Colorado,10/2017,219.0
Colorado,11/2017,222.0
Colorado,12/2017,334.0
Connecticut,01/2017,224.0
Connecticut,02/2017,257.0
Connecticut,03/2017,201.0
Connecticut,04/2017,198.0
Connecticut,05/2017,177.0
Connecticut,06/2017,168.0
Connecticut,07/2017,159.0
Connecticut,08/2017,135.0
Connecticut,09/2017,138.0
Connecticut,10/2017,168.0
Connecticut,11/2017,149.0
Connecticut,12/2017,172.0
North Dakota,01/2017,53.0
North Dakota,02/2017,32.0
North Dakota,03/2017,66.0
North Dakota,04/2017,37.0
North Dakota,05/2017,51.0
North Dakota,06/2017,38.0
North Dakota,07/2017,36.0
North Dakota,08/2017,27.0
North Dakota,09/2017,36.0
North Dakota,10/2017,42.0
North Dakota,11/2017,45.0
North Dakota,12/2017,42.0
South Dakota,01/2017,75.0
South Dakota,02/2017,88.0
South Dakota,03/2017,72.0
South Dakota,04/2017,75.0
South Dakota,05/2017,60.0
South Dakota,06/2017,61.0
South Dakota,07/2017,37.0
South Dakota,08/2017,40.0
South Dakota,09/2017,52.0
South Dakota,10/2017,60.0
South Dakota,11/2017,48.0
South Dakota,12/2017,54.0
Delaware,01/2017,75.0
Delaware,02/2017,64.0
Delaware,03/2017,64.0
Delaware,04/2017,72.0
Delaware,05/2017,62.0
Delaware,06/2017,39.0
Delaware,07/2017,55.0
Delaware,08/2017,43.0
Delaware,09/2017,39.0
Delaware,10/2017,59.0
Delaware,11/2017,69.0
Delaware,12/2017,69.0
Florida,01/2017,1534.0
Florida,02/2017,1438.0
Florida,03/2017,1545.0
Florida,04/2017,1352.0
Florida,05/2017,1272.0
Florida,06/2017,1173.0
Florida,07/2017,1178.0
Florida,08/2017,1205.0
Florida,09/2017,1184.0
Florida,10/2017,1196.0
Florida,11/2017,1194.0
Florida,12/2017,1405.0
Georgia,01/2017,659.0
Georgia,02/2017,582.0
Georgia,03/2017,635.0
Georgia,04/2017,569.0
Georgia,05/2017,477.0
Georgia,06/2017,444.0
Georgia,07/2017,423.0
Georgia,08/2017,438.0
Georgia,09/2017,457.0
Georgia,10/2017,496.0
Georgia,11/2017,489.0
Georgia,12/2017,597.0
Hawaii,01/2017,94.0
Hawaii,02/2017,84.0
Hawaii,03/2017,104.0
Hawaii,04/2017,76.0
Hawaii,05/2017,95.0
Hawaii,06/2017,88.0
Hawaii,07/2017,79.0
Hawaii,08/2017,74.0
Hawaii,09/2017,75.0
Hawaii,10/2017,69.0
Hawaii,11/2017,72.0
Hawaii,12/2017,105.0
Idaho,01/2017,149.0
Idaho,02/2017,130.0
Idaho,03/2017,120.0
Idaho,04/2017,90.0
Idaho,05/2017,97.0
Idaho,06/2017,80.0
Idaho,07/2017,76.0
Idaho,08/2017,68.0
Idaho,09/2017,80.0
Idaho,10/2017,77.0
Idaho,11/2017,95.0
Idaho,12/2017,118.0
Rhode Island,01/2017,61.0
Rhode Island,02/2017,86.0
Rhode Island,03/2017,88.0
Rhode Island,04/2017,70.0
Rhode Island,05/2017,58.0
Rhode Island,06/2017,53.0
Rhode Island,07/2017,62.0
Rhode Island,08/2017,44.0
Rhode Island,09/2017,43.0
Rhode Island,10/2017,38.0
Rhode Island,11/2017,57.0
Rhode Island,12/2017,67.0
Illinois,01/2017,860.0
Illinois,02/2017,857.0
Illinois,03/2017,842.0
Illinois,04/2017,688.0
Illinois,05/2017,650.0
Illinois,06/2017,600.0
Illinois,07/2017,528.0
Illinois,08/2017,538.0
Illinois,09/2017,530.0
Illinois,10/2017,602.0
Illinois,11/2017,604.0
Illinois,12/2017,835.0
Indiana,01/2017,593.0
Indiana,02/2017,459.0
Indiana,03/2017,619.0
Indiana,04/2017,484.0
Indiana,05/2017,431.0
Indiana,06/2017,377.0
Indiana,07/2017,360.0
Indiana,08/2017,377.0
Indiana,09/2017,386.0
Indiana,10/2017,384.0
Indiana,11/2017,413.0
Indiana,12/2017,570.0
Iowa,01/2017,296.0
Iowa,02/2017,311.0
Iowa,03/2017,281.0
Iowa,04/2017,187.0
Iowa,05/2017,197.0
Iowa,06/2017,187.0
Iowa,07/2017,147.0
Iowa,08/2017,141.0
Iowa,09/2017,161.0
Iowa,10/2017,195.0
Iowa,11/2017,171.0
Iowa,12/2017,243.0
Kentucky,01/2017,441.0
Kentucky,02/2017,428.0
Kentucky,03/2017,463.0
Kentucky,04/2017,409.0
Kentucky,05/2017,376.0
Kentucky,06/2017,303.0
Kentucky,07/2017,310.0
Kentucky,08/2017,305.0
Kentucky,09/2017,282.0
Kentucky,10/2017,318.0
Kentucky,11/2017,340.0
Kentucky,12/2017,437.0
Louisiana,01/2017,323.0
Louisiana,02/2017,302.0
Louisiana,03/2017,310.0
Louisiana,04/2017,299.0
Louisiana,05/2017,276.0
Louisiana,06/2017,217.0
Louisiana,07/2017,198.0
Louisiana,08/2017,230.0
Louisiana,09/2017,222.0
Louisiana,10/2017,225.0
Louisiana,11/2017,281.0
Louisiana,12/2017,369.0
Maine,01/2017,100.0
Maine,02/2017,133.0
Maine,03/2017,167.0
Maine,04/2017,130.0
Maine,05/2017,103.0
Maine,06/2017,89.0
Maine,07/2017,80.0
Maine,08/2017,102.0
Maine,09/2017,76.0
Maine,10/2017,91.0
Maine,11/2017,99.0
Maine,12/2017,113.0
Maryland,01/2017,354.0
Maryland,02/2017,330.0
Maryland,03/2017,345.0
Maryland,04/2017,273.0
Maryland,05/2017,241.0
Maryland,06/2017,223.0
Maryland,07/2017,171.0
Maryland,08/2017,210.0
Maryland,09/2017,225.0
Maryland,10/2017,219.0
Maryland,11/2017,200.0
Maryland,12/2017,278.0
Massachusetts,01/2017,494.0
Massachusetts,02/2017,439.0
Massachusetts,03/2017,469.0
Massachusetts,04/2017,393.0
Massachusetts,05/2017,343.0
Massachusetts,06/2017,324.0
Massachusetts,07/2017,308.0
Massachusetts,08/2017,277.0
Massachusetts,09/2017,261.0
Massachusetts,10/2017,300.0
Massachusetts,11/2017,300.0
Massachusetts,12/2017,367.0
Michigan,01/2017,705.0
Michigan,02/2017,711.0
Michigan,03/2017,870.0
Michigan,04/2017,716.0
Michigan,05/2017,643.0
Michigan,06/2017,567.0
Michigan,07/2017,506.0
Michigan,08/2017,505.0
Michigan,09/2017,488.0
Michigan,10/2017,556.0
Michigan,11/2017,552.0
Michigan,12/2017,667.0
Minnesota,01/2017,309.0
Minnesota,02/2017,325.0
Minnesota,03/2017,351.0
Minnesota,04/2017,288.0
Minnesota,05/2017,275.0
Minnesota,06/2017,236.0
Minnesota,07/2017,201.0
Minnesota,08/2017,221.0
Minnesota,09/2017,221.0
Minnesota,10/2017,228.0
Minnesota,11/2017,220.0
Minnesota,12/2017,286.0
Mississippi,01/2017,292.0
Mississippi,02/2017,247.0
Mississippi,03/2017,286.0
Mississippi,04/2017,211.0
Mississippi,05/2017,235.0
Mississippi,06/2017,210.0
Mississippi,07/2017,175.0
Mississippi,08/2017,166.0
Mississippi,09/2017,206.0
Mississippi,10/2017,224.0
Mississippi,11/2017,220.0
Mississippi,12/2017,347.0
Missouri,01/2017,623.0
Missouri,02/2017,567.0
Missouri,03/2017,523.0
Missouri,04/2017,398.0
Missouri,05/2017,409.0
Missouri,06/2017,370.0
Missouri,07/2017,365.0
Missouri,08/2017,362.0
Missouri,09/2017,350.0
Missouri,10/2017,395.0
Missouri,11/2017,352.0
Missouri,12/2017,507.0
Montana,01/2017,109.0
Montana,02/2017,112.0
Montana,03/2017,109.0
Montana,04/2017,82.0
Montana,05/2017,73.0
Montana,06/2017,60.0
Montana,07/2017,56.0
Montana,08/2017,60.0
Montana,09/2017,54.0
Montana,10/2017,65.0
Montana,11/2017,76.0
Montana,12/2017,81.0
Nebraska,01/2017,189.0
Nebraska,02/2017,187.0
Nebraska,03/2017,155.0
Nebraska,04/2017,126.0
Nebraska,05/2017,119.0
Nebraska,06/2017,107.0
Nebraska,07/2017,107.0
Nebraska,08/2017,115.0
Nebraska,09/2017,108.0
Nebraska,10/2017,129.0
Nebraska,11/2017,115.0
Nebraska,12/2017,160.0
Nevada,01/2017,234.0
Nevada,02/2017,218.0
Nevada,03/2017,224.0
Nevada,04/2017,212.0
Nevada,05/2017,208.0
Nevada,06/2017,164.0
Nevada,07/2017,159.0
Nevada,08/2017,135.0
Nevada,09/2017,154.0
Nevada,10/2017,171.0
Nevada,11/2017,180.0
Nevada,12/2017,210.0
New Hampshire,01/2017,84.0
New Hampshire,02/2017,99.0
New Hampshire,03/2017,100.0
New Hampshire,04/2017,86.0
New Hampshire,05/2017,79.0
New Hampshire,06/2017,84.0
New Hampshire,07/2017,60.0
New Hampshire,08/2017,76.0
New Hampshire,09/2017,68.0
New Hampshire,10/2017,79.0
New Hampshire,11/2017,94.0
New Hampshire,12/2017,76.0
New Jersey,01/2017,564.0
New Jersey,02/2017,517.0
New Jersey,03/2017,440.0
New Jersey,04/2017,419.0
New Jersey,05/2017,347.0
New Jersey,06/2017,332.0
New Jersey,07/2017,341.0
New Jersey,08/2017,268.0
New Jersey,09/2017,279.0
New Jersey,10/2017,322.0
New Jersey,11/2017,312.0
New Jersey,12/2017,423.0
New York,01/2017,1263.0
New York,02/2017,1185.0
New York,03/2017,1142.0
New York,04/2017,1000.0
New York,05/2017,918.0
New York,06/2017,897.0
New York,07/2017,829.0
New York,08/2017,853.0
New York,09/2017,780.0
New York,10/2017,907.0
New York,11/2017,935.0
New York,12/2017,1066.0
New Mexico,01/2017,139.0
New Mexico,02/2017,174.0
New Mexico,03/2017,165.0
New Mexico,04/2017,127.0
New Mexico,05/2017,138.0
New Mexico,06/2017,95.0
New Mexico,07/2017,95.0
New Mexico,08/2017,98.0
New Mexico,09/2017,97.0
New Mexico,10/2017,96.0
New Mexico,11/2017,112.0
New Mexico,12/2017,145.0
Oklahoma,01/2017,357.0
Oklahoma,02/2017,417.0
Oklahoma,03/2017,395.0
Oklahoma,04/2017,297.0
Oklahoma,05/2017,292.0
Oklahoma,06/2017,243.0
Oklahoma,07/2017,277.0
Oklahoma,08/2017,220.0
Oklahoma,09/2017,230.0
Oklahoma,10/2017,263.0
Oklahoma,11/2017,300.0
Oklahoma,12/2017,369.0
Ohio,01/2017,1060.0
Ohio,02/2017,908.0
Ohio,03/2017,989.0
Ohio,04/2017,850.0
Ohio,05/2017,753.0
Ohio,06/2017,665.0
Ohio,07/2017,671.0
Ohio,08/2017,637.0
Ohio,09/2017,655.0
Ohio,10/2017,681.0
Ohio,11/2017,706.0
Ohio,12/2017,980.0
Oregon,01/2017,377.0
Oregon,02/2017,256.0
Oregon,03/2017,261.0
Oregon,04/2017,222.0
Oregon,05/2017,226.0
Oregon,06/2017,184.0
Oregon,07/2017,195.0
Oregon,08/2017,156.0
Oregon,09/2017,161.0
Oregon,10/2017,197.0
Oregon,11/2017,195.0
Oregon,12/2017,231.0
Pennsylvania,01/2017,1063.0
Pennsylvania,02/2017,971.0
Pennsylvania,03/2017,955.0
Pennsylvania,04/2017,837.0
Pennsylvania,05/2017,745.0
Pennsylvania,06/2017,722.0
Pennsylvania,07/2017,628.0
Pennsylvania,08/2017,642.0
Pennsylvania,09/2017,649.0
Pennsylvania,10/2017,710.0
Pennsylvania,11/2017,629.0
Pennsylvania,12/2017,834.0
Tennessee,01/2017,627.0
Tennessee,02/2017,620.0
Tennessee,03/2017,662.0
Tennessee,04/2017,538.0
Tennessee,05/2017,508.0
Tennessee,06/2017,505.0
Tennessee,07/2017,429.0
Tennessee,08/2017,418.0
Tennessee,09/2017,453.0
Tennessee,10/2017,489.0
Tennessee,11/2017,461.0
Tennessee,12/2017,603.0
Texas,01/2017,1401.0
Texas,02/2017,1318.0
Texas,03/2017,1353.0
Texas,04/2017,1158.0
Texas,05/2017,1035.0
Texas,06/2017,967.0
Texas,07/2017,975.0
Texas,08/2017,885.0
Texas,09/2017,920.0
Texas,10/2017,1031.0
Texas,11/2017,1080.0
Texas,12/2017,1481.0
Utah,01/2017,152.0
Utah,02/2017,105.0
Utah,03/2017,111.0
Utah,04/2017,96.0
Utah,05/2017,103.0
Utah,06/2017,84.0
Utah,07/2017,69.0
Utah,08/2017,78.0
Utah,09/2017,80.0
Utah,10/2017,85.0
Utah,11/2017,77.0
Utah,12/2017,120.0
Vermont,01/2017,50.0
Vermont,02/2017,37.0
Vermont,03/2017,48.0
Vermont,04/2017,48.0
Vermont,05/2017,35.0
Vermont,06/2017,31.0
Vermont,07/2017,33.0
Vermont,08/2017,23.0
Vermont,09/2017,23.0
Vermont,10/2017,35.0
Vermont,11/2017,46.0
Vermont,12/2017,52.0
Virginia,01/2017,511.0
Virginia,02/2017,465.0
Virginia,03/2017,538.0
Virginia,04/2017,389.0
Virginia,05/2017,323.0
Virginia,06/2017,354.0
Virginia,07/2017,300.0
Virginia,08/2017,299.0
Virginia,09/2017,305.0
Virginia,10/2017,336.0
Virginia,11/2017,341.0
Virginia,12/2017,447.0
West Virginia,01/2017,240.0
West Virginia,02/2017,192.0
West Virginia,03/2017,219.0
West Virginia,04/2017,185.0
West Virginia,05/2017,167.0
West Virginia,06/2017,157.0
West Virginia,07/2017,165.0
West Virginia,08/2017,134.0
West Virginia,09/2017,137.0
West Virginia,10/2017,176.0
West Virginia,11/2017,160.0
West Virginia,12/2017,207.0
Washington,01/2017,644.0
Washington,02/2017,507.0
Washington,03/2017,415.0
Washington,04/2017,355.0
Washington,05/2017,298.0
Washington,06/2017,274.0
Washington,07/2017,267.0
Washington,08/2017,272.0
Washington,09/2017,234.0
Washington,10/2017,288.0
Washington,11/2017,314.0
Washington,12/2017,350.0
Wisconsin,01/2017,396.0
Wisconsin,02/2017,362.0
Wisconsin,03/2017,431.0
Wisconsin,04/2017,347.0
Wisconsin,05/2017,324.0
Wisconsin,06/2017,270.0
Wisconsin,07/2017,249.0
Wisconsin,08/2017,246.0
Wisconsin,09/2017,270.0
Wisconsin,10/2017,263.0
Wisconsin,11/2017,310.0
Wisconsin,12/2017,340.0
Wyoming,01/2017,44.0
Wyoming,02/2017,47.0
Wyoming,03/2017,48.0
Wyoming,04/2017,43.0
Wyoming,05/2017,43.0
Wyoming,06/2017,39.0
Wyoming,07/2017,35.0
Wyoming,08/2017,32.0
Wyoming,09/2017,35.0
Wyoming,10/2017,32.0
Wyoming,11/2017,34.0
Wyoming,12/2017,49.0
