State,Month,o3
Alabama,01/2018,0.026868919354838712
Alabama,02/2018,0.024022069444444443
Alabama,03/2018,0.03459641628264209
Alabama,04/2018,0.03726762480857581
Alabama,05/2018,0.0309861394984326
Alabama,06/2018,0.025758543478260874
Alabama,07/2018,0.02738606296851574
Alabama,08/2018,0.024609645400593474
Alabama,09/2018,0.02011678549382716
Alabama,10/2018,0.023163279823269513
Alabama,11/2018,0.02218062
Alabama,12/2018,0.020347732142857147
Alaska,01/2018,0.020934870967741936
Alaska,02/2018,0.026457370370370367
Alaska,03/2018,0.03187245054945055
Alaska,04/2018,0.036262867469879514
Alaska,05/2018,0.03188150000000001
Alaska,06/2018,0.02544256818181818
Alaska,07/2018,0.018955010752688174
Alaska,08/2018,0.014448658823529413
Alaska,09/2018,0.016353455555555556
Alaska,10/2018,0.02063678494623656
Alaska,11/2018,0.017996839506172837
Alaska,12/2018,0.01958345614035088
Arkansas,01/2018,0.027702766129032257
Arkansas,02/2018,0.02458140625
Arkansas,03/2018,0.0373711693548387
Arkansas,04/2018,0.04004830833333333
Arkansas,05/2018,0.03668075
Arkansas,06/2018,0.032400801687763714
Arkansas,07/2018,0.0330950685483871
Arkansas,08/2018,0.031162568548387098
Arkansas,09/2018,0.023681570833333332
Arkansas,10/2018,0.023527153225806455
Arkansas,11/2018,0.024114925
Arkansas,12/2018,0.022331587044534414
Arizona,01/2018,0.027982705668604654
Arizona,02/2018,0.03209047920000001
Arizona,03/2018,0.03670416738816738
Arizona,04/2018,0.04689465145848916
Arizona,05/2018,0.046813908501440925
Arizona,06/2018,0.043206892433234424
Arizona,07/2018,0.04764445346396081
Arizona,08/2018,0.04468828395061728
Arizona,09/2018,0.0349278123569794
Arizona,10/2018,0.028564197785977862
Arizona,11/2018,0.029082972560975605
Arizona,12/2018,0.024079583958020987
California,01/2018,0.019815745403677056
California,02/2018,0.02997266666666667
California,03/2018,0.03174059536333528
California,04/2018,0.03914577237354085
California,05/2018,0.03798155636295882
California,06/2018,0.0407347204238921
California,07/2018,0.038849345860465116
California,08/2018,0.04013063162808066
California,09/2018,0.037682975072463765
California,10/2018,0.03111509857819905
California,11/2018,0.026738419459023013
California,12/2018,0.019873468952007835
Kansas,01/2018,0.024773723021582737
Kansas,02/2018,0.026416636752136756
Kansas,03/2018,0.033313269784172664
Kansas,04/2018,0.03956457777777778
Kansas,05/2018,0.04146654406130268
Kansas,06/2018,0.0381582342007435
Kansas,07/2018,0.03810614028776978
Kansas,08/2018,0.03562916129032258
Kansas,09/2018,0.024299381481481485
Kansas,10/2018,0.021700722007722006
Kansas,11/2018,0.02014885984848485
Kansas,12/2018,0.020440186379928314
North Carolina,01/2018,0.029210052631578946
North Carolina,02/2018,0.026454510460251046
North Carolina,03/2018,0.03953525104253545
North Carolina,04/2018,0.04303911858704794
North Carolina,05/2018,0.03407619389438944
North Carolina,06/2018,0.035921205063291134
North Carolina,07/2018,0.0332793336099585
North Carolina,08/2018,0.027377942225998302
North Carolina,09/2018,0.022828480533926585
North Carolina,10/2018,0.025014200546946218
North Carolina,11/2018,0.023153309782608694
North Carolina,12/2018,0.022620708791208793
South Carolina,01/2018,0.027415498381877023
South Carolina,02/2018,0.02400460756501182
South Carolina,03/2018,0.03734231762652705
South Carolina,04/2018,0.038834599647266314
South Carolina,05/2018,0.029564267461669506
South Carolina,06/2018,0.03094496715328467
South Carolina,07/2018,0.02903432713754647
South Carolina,08/2018,0.024559635869565215
South Carolina,09/2018,0.020858101761252447
South Carolina,10/2018,0.024895160079051383
South Carolina,11/2018,0.021837496932515337
South Carolina,12/2018,0.022907237903225804
Colorado,01/2018,0.029518048257372653
Colorado,02/2018,0.03473201079489696
Colorado,03/2018,0.040560762237762234
Colorado,04/2018,0.04582488599348534
Colorado,05/2018,0.04707807404744788
Colorado,06/2018,0.04782880236604036
Colorado,07/2018,0.050498848623853204
Colorado,08/2018,0.04821248903225807
Colorado,09/2018,0.03999138196286472
Colorado,10/2018,0.02930731380107941
Colorado,11/2018,0.0308407617360496
Colorado,12/2018,0.030266637992831538
Connecticut,01/2018,0.026708056451612904
Connecticut,02/2018,0.026711564102564107
Connecticut,03/2018,0.03780088285714286
Connecticut,04/2018,0.03988530617977528
Connecticut,05/2018,0.0388328629032258
Connecticut,06/2018,0.033849929971988796
Connecticut,07/2018,0.03779586991869919
Connecticut,08/2018,0.03540053929539295
Connecticut,09/2018,0.02356461647727273
Connecticut,10/2018,0.022325354838709673
Connecticut,11/2018,0.022481655172413798
Connecticut,12/2018,0.02362479646017699
North Dakota,01/2018,0.026746311239193084
North Dakota,02/2018,0.03603824605678233
North Dakota,03/2018,0.04038155922865014
North Dakota,04/2018,0.040685048048048046
North Dakota,05/2018,0.04086326807228916
North Dakota,06/2018,0.03702440922190202
North Dakota,07/2018,0.032559975806451605
North Dakota,08/2018,0.033365271002710035
North Dakota,09/2018,0.023602669444444446
North Dakota,10/2018,0.02382102513966481
North Dakota,11/2018,0.021196447674418605
North Dakota,12/2018,0.024163005405405405
South Dakota,01/2018,0.028691832432432434
South Dakota,02/2018,0.03630576397515528
South Dakota,03/2018,0.03831338918918919
South Dakota,04/2018,0.041204561111111114
South Dakota,05/2018,0.039488913978494626
South Dakota,06/2018,0.03851837777777778
South Dakota,07/2018,0.03523707027027027
South Dakota,08/2018,0.03406487096774194
South Dakota,09/2018,0.02836165882352941
South Dakota,10/2018,0.027140525714285713
South Dakota,11/2018,0.024475814102564105
South Dakota,12/2018,0.027881647727272727
Delaware,01/2018,0.02562122222222222
Delaware,02/2018,0.02481271657754011
Delaware,03/2018,0.036960556179775284
Delaware,04/2018,0.04183664444444445
Delaware,05/2018,0.03705282162162162
Delaware,06/2018,0.03794947643979057
Delaware,07/2018,0.03508792558139535
Delaware,08/2018,0.032936862559241706
Delaware,09/2018,0.023267961352657008
Delaware,10/2018,0.022852018779342717
Delaware,11/2018,0.020323293193717278
Delaware,12/2018,0.018568988700564972
Florida,01/2018,0.031148884920634924
Florida,02/2018,0.027602114551083592
Florida,03/2018,0.03990534198645598
Florida,04/2018,0.03882912418687168
Florida,05/2018,0.0321136381880734
Florida,06/2018,0.02485019893428064
Florida,07/2018,0.02667844979686593
Florida,08/2018,0.02100479677605066
Florida,09/2018,0.0221600112960761
Florida,10/2018,0.027588815126050416
Florida,11/2018,0.02511064656212304
Florida,12/2018,0.02618773717948718
Georgia,01/2018,0.025804934426229508
Georgia,02/2018,0.02184843055555556
Georgia,03/2018,0.036349231686541736
Georgia,04/2018,0.037182287569573286
Georgia,05/2018,0.030872595486111112
Georgia,06/2018,0.02949501241134752
Georgia,07/2018,0.029581946619217078
Georgia,08/2018,0.02464560034602076
Georgia,09/2018,0.021013325663716814
Georgia,10/2018,0.024433931856899488
Georgia,11/2018,0.019224016666666663
Georgia,12/2018,0.019616306451612907
Hawaii,01/2018,0.027106950819672133
Hawaii,02/2018,0.026861660714285716
Hawaii,03/2018,0.031379898305084745
Hawaii,04/2018,0.027954033333333336
Hawaii,05/2018,0.027962379310344832
Hawaii,06/2018,0.020854017543859647
Hawaii,07/2018,0.01615607894736842
Hawaii,08/2018,0.017256660714285714
Hawaii,09/2018,0.01746255
Hawaii,10/2018,0.02079167741935484
Hawaii,11/2018,0.027540783333333332
Hawaii,12/2018,0.03227096774193548
Idaho,01/2018,0.024768609195402295
Idaho,02/2018,0.03246992857142857
Idaho,03/2018,0.03792065217391304
Idaho,04/2018,0.03750892173913044
Idaho,05/2018,0.03618707258064517
Idaho,06/2018,0.03696338655462186
Idaho,07/2018,0.042431157480314965
Idaho,08/2018,0.040149137096774194
Idaho,09/2018,0.0317708425925926
Idaho,10/2018,0.026545397849462363
Idaho,11/2018,0.02367857777777778
Idaho,12/2018,0.027836098901098904
Rhode Island,01/2018,0.029182193548387098
Rhode Island,02/2018,0.03018372413793103
Rhode Island,03/2018,0.03962647777777778
Rhode Island,04/2018,0.04098837777777778
Rhode Island,05/2018,0.039280779069767444
Rhode Island,06/2018,0.03350343181818182
Rhode Island,07/2018,0.03551897849462366
Rhode Island,08/2018,0.03441577419354839
Rhode Island,09/2018,0.02418807777777778
Rhode Island,10/2018,0.02641183870967742
Rhode Island,11/2018,0.026392066666666672
Rhode Island,12/2018,0.02707232258064516
Illinois,01/2018,0.022573631428571425
Illinois,02/2018,0.02581481623277182
Illinois,03/2018,0.033408096514745314
Illinois,04/2018,0.03848882299270073
Illinois,05/2018,0.04065211258865248
Illinois,06/2018,0.03681254894784996
Illinois,07/2018,0.03495911875
Illinois,08/2018,0.03170587053571429
Illinois,09/2018,0.027641569075937785
Illinois,10/2018,0.020831696728558797
Illinois,11/2018,0.017402579494799408
Illinois,12/2018,0.0160337849002849
Indiana,01/2018,0.02439519554848967
Indiana,02/2018,0.02512239718804921
Indiana,03/2018,0.033453457943925236
Indiana,04/2018,0.038549039183673466
Indiana,05/2018,0.040724877068557916
Indiana,06/2018,0.03716665400161681
Indiana,07/2018,0.03301202127659574
Indiana,08/2018,0.029892043681747273
Indiana,09/2018,0.024279444264943457
Indiana,10/2018,0.021982413364413367
Indiana,11/2018,0.01784693242156074
Indiana,12/2018,0.017789580899763218
Iowa,01/2018,0.02179034408602151
Iowa,02/2018,0.0291515
Iowa,03/2018,0.03576479240162822
Iowa,04/2018,0.03961799166666667
Iowa,05/2018,0.039615915875169605
Iowa,06/2018,0.03711306580829757
Iowa,07/2018,0.031906374324324326
Iowa,08/2018,0.02912735397039031
Iowa,09/2018,0.02419445147679325
Iowa,10/2018,0.01983344794520548
Iowa,11/2018,0.017962705555555555
Iowa,12/2018,0.017498962365591394
Kentucky,01/2018,0.029415724324324318
Kentucky,02/2018,0.025997132978723404
Kentucky,03/2018,0.03478192281498297
Kentucky,04/2018,0.03924013768961494
Kentucky,05/2018,0.03587956781609196
Kentucky,06/2018,0.0342347338902148
Kentucky,07/2018,0.03270810022271715
Kentucky,08/2018,0.028121088937093277
Kentucky,09/2018,0.021895670175438593
Kentucky,10/2018,0.023049464523281594
Kentucky,11/2018,0.023298672222222223
Kentucky,12/2018,0.02392806451612903
Louisiana,01/2018,0.02676256451612903
Louisiana,02/2018,0.022957761363636364
Louisiana,03/2018,0.034860459259259256
Louisiana,04/2018,0.036608144817073175
Louisiana,05/2018,0.03380517138599106
Louisiana,06/2018,0.02074574500768049
Louisiana,07/2018,0.025831903703703703
Louisiana,08/2018,0.022578526470588237
Louisiana,09/2018,0.018770474242424243
Louisiana,10/2018,0.02387789411764706
Louisiana,11/2018,0.020208047112462005
Louisiana,12/2018,0.020924148648648652
Maine,01/2018,0.03161252688172043
Maine,02/2018,0.03474018614718615
Maine,03/2018,0.04192293333333333
Maine,04/2018,0.04137490717299579
Maine,05/2018,0.03665236565656566
Maine,06/2018,0.030283382165605093
Maine,07/2018,0.02781973206751055
Maine,08/2018,0.026148270161290323
Maine,09/2018,0.021430344155844157
Maine,10/2018,0.02236995625
Maine,11/2018,0.02522783815028902
Maine,12/2018,0.028075080645161284
Maryland,01/2018,0.027548875
Maryland,02/2018,0.025802465116279073
Maryland,03/2018,0.03701799336650083
Maryland,04/2018,0.04325114833333333
Maryland,05/2018,0.03740734768211921
Maryland,06/2018,0.03625607718120805
Maryland,07/2018,0.03539292868719611
Maryland,08/2018,0.031094181523500807
Maryland,09/2018,0.02345752622673435
Maryland,10/2018,0.023359449675324672
Maryland,11/2018,0.02187723976608187
Maryland,12/2018,0.01986334375
Massachusetts,01/2018,0.027814015283842794
Massachusetts,02/2018,0.028858680288461537
Massachusetts,03/2018,0.03927770693512303
Massachusetts,04/2018,0.04040120888888888
Massachusetts,05/2018,0.03870373922413793
Massachusetts,06/2018,0.032060414012738854
Massachusetts,07/2018,0.033562326530612245
Massachusetts,08/2018,0.03175033935742972
Massachusetts,09/2018,0.022221175152749493
Massachusetts,10/2018,0.02216831081081081
Massachusetts,11/2018,0.02344350101010101
Massachusetts,12/2018,0.023844749525616698
Michigan,01/2018,0.024848594982078854
Michigan,02/2018,0.02931798920863309
Michigan,03/2018,0.03657192413793103
Michigan,04/2018,0.03938957258064516
Michigan,05/2018,0.0404973063973064
Michigan,06/2018,0.03481941394825647
Michigan,07/2018,0.03595613236929922
Michigan,08/2018,0.03191811135135135
Michigan,09/2018,0.024687630580357143
Michigan,10/2018,0.021427892156862745
Michigan,11/2018,0.020628897260273973
Michigan,12/2018,0.019541967741935482
Minnesota,01/2018,0.02469260655737705
Minnesota,02/2018,0.03609431491712708
Minnesota,03/2018,0.03995766213592233
Minnesota,04/2018,0.04243976406926407
Minnesota,05/2018,0.03914067436489608
Minnesota,06/2018,0.029867098398169336
Minnesota,07/2018,0.027440294536817105
Minnesota,08/2018,0.024849290598290597
Minnesota,09/2018,0.022478006607929514
Minnesota,10/2018,0.019977098654708522
Minnesota,11/2018,0.021180741176470588
Minnesota,12/2018,0.02059131896551724
Mississippi,01/2018,0.026206785714285714
Mississippi,02/2018,0.024
Mississippi,03/2018,0.03658531270358307
Mississippi,04/2018,0.04007924657534247
Mississippi,05/2018,0.036529624595469254
Mississippi,06/2018,0.027502440273037543
Mississippi,07/2018,0.029093527210884353
Mississippi,08/2018,0.026810214983713356
Mississippi,09/2018,0.022088212328767124
Mississippi,10/2018,0.02659449152542373
Mississippi,11/2018,0.02026130612244898
Mississippi,12/2018,0.021007224137931033
Missouri,01/2018,0.025711096774193552
Missouri,02/2018,0.024950276315789475
Missouri,03/2018,0.03502595955882353
Missouri,04/2018,0.04168885975609756
Missouri,05/2018,0.04188941611234294
Missouri,06/2018,0.03681217097264437
Missouri,07/2018,0.03698989764359352
Missouri,08/2018,0.0347175081120944
Missouri,09/2018,0.0270655766590389
Missouri,10/2018,0.023902286346863467
Missouri,11/2018,0.019165183333333332
Missouri,12/2018,0.01920483870967742
Montana,01/2018,0.029962947580645164
Montana,02/2018,0.03825034010152284
Montana,03/2018,0.040440830645161296
Montana,04/2018,0.040276566666666666
Montana,05/2018,0.03676114574898785
Montana,06/2018,0.03462752083333333
Montana,07/2018,0.03408962551440329
Montana,08/2018,0.03737708878504673
Montana,09/2018,0.028889794258373205
Montana,10/2018,0.026599299539170507
Montana,11/2018,0.024951795238095237
Montana,12/2018,0.027762776190476193
Nebraska,01/2018,0.026468576923076928
Nebraska,02/2018,0.033168254237288135
Nebraska,03/2018,0.03206851612903226
Nebraska,04/2018,0.038364013333333336
Nebraska,05/2018,0.037358973684210525
Nebraska,06/2018,0.03969615277777778
Nebraska,07/2018,0.03353701948051949
Nebraska,08/2018,0.03115573381294964
Nebraska,09/2018,0.024245333333333334
Nebraska,10/2018,0.018900084415584415
Nebraska,11/2018,0.020022124999999995
Nebraska,12/2018,0.02195593548387097
Nevada,01/2018,0.021375898193760262
Nevada,02/2018,0.03153794074074074
Nevada,03/2018,0.036681557536466784
Nevada,04/2018,0.0444260700152207
Nevada,05/2018,0.04560470013947001
Nevada,06/2018,0.04878929986052998
Nevada,07/2018,0.048833122666666666
Nevada,08/2018,0.049205031620553355
Nevada,09/2018,0.04062327132867133
Nevada,10/2018,0.029715246153846155
Nevada,11/2018,0.024358624561403513
Nevada,12/2018,0.023420188679245287
New Hampshire,01/2018,0.02891309677419355
New Hampshire,02/2018,0.030667101063829787
New Hampshire,03/2018,0.04114429005524862
New Hampshire,04/2018,0.04067785
New Hampshire,05/2018,0.038093486559139786
New Hampshire,06/2018,0.029812234636871507
New Hampshire,07/2018,0.029362272237196764
New Hampshire,08/2018,0.02586787912087912
New Hampshire,09/2018,0.02097685714285714
New Hampshire,10/2018,0.019085827956989248
New Hampshire,11/2018,0.022258999999999998
New Hampshire,12/2018,0.02359986021505376
New Jersey,01/2018,0.02188681845238095
New Jersey,02/2018,0.021577325878594247
New Jersey,03/2018,0.034004492217898835
New Jersey,04/2018,0.03745464047151277
New Jersey,05/2018,0.03535853934740883
New Jersey,06/2018,0.03409705940594059
New Jersey,07/2018,0.034287994274809164
New Jersey,08/2018,0.031815036468330136
New Jersey,09/2018,0.021369028056112224
New Jersey,10/2018,0.020984644268774704
New Jersey,11/2018,0.018825615384615385
New Jersey,12/2018,0.016867541401273885
New York,01/2018,0.026258014925373132
New York,02/2018,0.02786759815546772
New York,03/2018,0.03698623298731257
New York,04/2018,0.03858020387243736
New York,05/2018,0.039113183496199785
New York,06/2018,0.032581134509371557
New York,07/2018,0.03454686554621848
New York,08/2018,0.031091957492029754
New York,09/2018,0.02224448883928571
New York,10/2018,0.022177406040268452
New York,11/2018,0.02156701525658807
New York,12/2018,0.02237987241798299
New Mexico,01/2018,0.027332985790408524
New Mexico,02/2018,0.03355343984962406
New Mexico,03/2018,0.03920308503401361
New Mexico,04/2018,0.047446386440677966
New Mexico,05/2018,0.04740876174496644
New Mexico,06/2018,0.046549457482993196
New Mexico,07/2018,0.05047231442463533
New Mexico,08/2018,0.04738569579288026
New Mexico,09/2018,0.037512460750853245
New Mexico,10/2018,0.028821943877551017
New Mexico,11/2018,0.028865361781076068
New Mexico,12/2018,0.02661864665523156
Oklahoma,01/2018,0.02737660456273764
Oklahoma,02/2018,0.024721236252545825
Oklahoma,03/2018,0.03557648828125
Oklahoma,04/2018,0.04091974297188755
Oklahoma,05/2018,0.03998079816513761
Oklahoma,06/2018,0.035479055555555555
Oklahoma,07/2018,0.03851152213541667
Oklahoma,08/2018,0.0367226488946684
Oklahoma,09/2018,0.025113297002724796
Oklahoma,10/2018,0.023438229281767954
Oklahoma,11/2018,0.024489444277108436
Oklahoma,12/2018,0.02181908370044053
Ohio,01/2018,0.02630476344086021
Ohio,02/2018,0.024770901960784315
Ohio,03/2018,0.03470307357645554
Ohio,04/2018,0.03972371560236998
Ohio,05/2018,0.04035913051702396
Ohio,06/2018,0.03686611704180064
Ohio,07/2018,0.03588513403990025
Ohio,08/2018,0.031735576059850376
Ohio,09/2018,0.024049261966364813
Ohio,10/2018,0.02256346550652579
Ohio,11/2018,0.018708305555555554
Ohio,12/2018,0.01978255913978495
Oregon,01/2018,0.0170615
Oregon,02/2018,0.01666180357142857
Oregon,03/2018,0.022840629032258065
Oregon,04/2018,0.02704950746268657
Oregon,05/2018,0.02902270535714285
Oregon,06/2018,0.027704495297805647
Oregon,07/2018,0.02940670278637771
Oregon,08/2018,0.028581480620155038
Oregon,09/2018,0.0252940607028754
Oregon,10/2018,0.0138278125
Oregon,11/2018,0.013080900000000001
Oregon,12/2018,0.015353241379310345
Pennsylvania,01/2018,0.02426827753023552
Pennsylvania,02/2018,0.024765456115107918
Pennsylvania,03/2018,0.03450272721518987
Pennsylvania,04/2018,0.039158902423051735
Pennsylvania,05/2018,0.03618136758136566
Pennsylvania,06/2018,0.03410549934210526
Pennsylvania,07/2018,0.03479188461538462
Pennsylvania,08/2018,0.030226142019543975
Pennsylvania,09/2018,0.02171051754385965
Pennsylvania,10/2018,0.022533953145057767
Pennsylvania,11/2018,0.020075366601435093
Pennsylvania,12/2018,0.018782300505050503
Tennessee,01/2018,0.030949875000000005
Tennessee,02/2018,0.02819742441860465
Tennessee,03/2018,0.037268970544919004
Tennessee,04/2018,0.040349550156739813
Tennessee,05/2018,0.03655316430594901
Tennessee,06/2018,0.03414956997084548
Tennessee,07/2018,0.033269054733727814
Tennessee,08/2018,0.028694450724637683
Tennessee,09/2018,0.023305791158536582
Tennessee,10/2018,0.024698027181688127
Tennessee,11/2018,0.02649611538461539
Tennessee,12/2018,0.02642159477124183
Texas,01/2018,0.025260703923357667
Texas,02/2018,0.02011731486146096
Texas,03/2018,0.03643940081154193
Texas,04/2018,0.03913614385150812
Texas,05/2018,0.03603786082703424
Texas,06/2018,0.026933818773234197
Texas,07/2018,0.03178886551567469
Texas,08/2018,0.03079079151624549
Texas,09/2018,0.02268479097605893
Texas,10/2018,0.022968217236783654
Texas,11/2018,0.022650016933638443
Texas,12/2018,0.02184073616644533
Utah,01/2018,0.02475749533954727
Utah,02/2018,0.034536228522336766
Utah,03/2018,0.03905707814569536
Utah,04/2018,0.04472070338983051
Utah,05/2018,0.048557754675467545
Utah,06/2018,0.04993577541899441
Utah,07/2018,0.05130087027027027
Utah,08/2018,0.04952045625692137
Utah,09/2018,0.04137634570765661
Utah,10/2018,0.030489059633027525
Utah,11/2018,0.02718505946601942
Utah,12/2018,0.026540429463171037
Vermont,01/2018,0.02973050537634408
Vermont,02/2018,0.03190257142857143
Vermont,03/2018,0.04036758620689655
Vermont,04/2018,0.03951913333333333
Vermont,05/2018,0.038194580645161284
Vermont,06/2018,0.029342303370786516
Vermont,07/2018,0.029918419354838716
Vermont,08/2018,0.026180182795698927
Vermont,09/2018,0.020888166666666666
Vermont,10/2018,0.02123062365591398
Vermont,11/2018,0.024168577777777776
Vermont,12/2018,0.02545678494623656
Virginia,01/2018,0.03119779032258064
Virginia,02/2018,0.027058046153846153
Virginia,03/2018,0.03677304239766082
Virginia,04/2018,0.041943439528023596
Virginia,05/2018,0.03389053488372093
Virginia,06/2018,0.03275119619326501
Virginia,07/2018,0.03113077106741573
Virginia,08/2018,0.026225648382559776
Virginia,09/2018,0.021075115160349857
Virginia,10/2018,0.022669895500725686
Virginia,11/2018,0.025371474576271185
Virginia,12/2018,0.025233322580645163
West Virginia,01/2018,0.02259479569892473
West Virginia,02/2018,0.020676800000000002
West Virginia,03/2018,0.03400074433656958
West Virginia,04/2018,0.03852471785714286
West Virginia,05/2018,0.03251059090909091
West Virginia,06/2018,0.03190959595959596
West Virginia,07/2018,0.030858922580645164
West Virginia,08/2018,0.025413214285714286
West Virginia,09/2018,0.019547198630136986
West Virginia,10/2018,0.02010132423208191
West Virginia,11/2018,0.019659411111111108
West Virginia,12/2018,0.01796737634408602
Washington,01/2018,0.02933598347107438
Washington,02/2018,0.02975277669902912
Washington,03/2018,0.033822656
Washington,04/2018,0.0356321847133758
Washington,05/2018,0.03067142691415313
Washington,06/2018,0.02857024087591241
Washington,07/2018,0.030399209476309225
Washington,08/2018,0.028749273417721516
Washington,09/2018,0.02375884699453552
Washington,10/2018,0.026302454545454546
Washington,11/2018,0.028642104651162785
Washington,12/2018,0.0262875
Wisconsin,01/2018,0.028703064516129036
Wisconsin,02/2018,0.03427883804627249
Wisconsin,03/2018,0.03939324245577523
Wisconsin,04/2018,0.043907039870689654
Wisconsin,05/2018,0.04289247286012526
Wisconsin,06/2018,0.035196141935483864
Wisconsin,07/2018,0.03452477580813347
Wisconsin,08/2018,0.030456035527690703
Wisconsin,09/2018,0.027722321505376346
Wisconsin,10/2018,0.02195973492063492
Wisconsin,11/2018,0.02316531818181818
Wisconsin,12/2018,0.022750741935483872
Wyoming,01/2018,0.03425155399061033
Wyoming,02/2018,0.03868362040816326
Wyoming,03/2018,0.04077838489208633
Wyoming,04/2018,0.04275371208226221
Wyoming,05/2018,0.04277227044025158
Wyoming,06/2018,0.042723527813712796
Wyoming,07/2018,0.043903888182973305
Wyoming,08/2018,0.04444534445768772
Wyoming,09/2018,0.03827560075093867
Wyoming,10/2018,0.03114607416563659
Wyoming,11/2018,0.032993504516129035
Wyoming,12/2018,0.03525632906976744
